docName,level,popup_on_n,popup_on_mean,popup_on_median,popup_on_sd,popup_off_n,popup_off_mean,popup_off_median,popup_off_sd,on_minus_off,cohens_d,interpretation
b2_animals_of_rainforests_1.pdf,B2,17,84.31176470588235,83.33,18.134629592058847,19,80.70105263157895,83.33,20.98164380138475,3.6107120743034073,0.18334807324776198,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
b2_electromagnetic_radiation_2.pdf,B2,18,67.77777777777777,80.0,22.89504327438469,22,70.9090909090909,80.0,18.233692233542072,-3.131313131313135,-0.15311450050517011,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
b2_first_american_3.pdf,B2,20,87.0,80.0,11.742858972247996,14,88.57142857142857,100.0,15.118578920369089,-1.5714285714285694,-0.11887984869061072,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
b2_sticky_fingers_4.pdf,B2,20,91.0,100.0,12.096106376585988,18,84.44444444444444,80.0,16.169041669088863,6.555555555555557,0.4627628901109697,πιθανό benefit με popup-on; usable n
c1_age_of_exploration_1.pdf,C1,20,82.0,80.0,18.23819012257983,15,86.66666666666667,80.0,12.344267996967353,-4.666666666666671,-0.29157464373752157,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
c1_bee_reading_2.pdf,C1,16,90.0,100.0,14.60593486680443,19,88.42105263157895,100.0,18.03181074740996,1.5789473684210549,0.09533166994751358,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
c1_native_american_conflicts_3.pdf,C1,13,86.15384615384616,100.0,18.946618668626837,21,80.0,80.0,23.664319132398465,6.15384615384616,0.27954262312584516,πιθανό benefit με popup-on; usable n
c1_walt_disney_4.pdf,C1,22,76.36363636363636,80.0,22.79211529192759,15,77.33333333333333,80.0,16.67618775665584,-0.9696969696969688,-0.04715238201826418,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
c2_noisy_humans_1.pdf,C2,23,78.26086956521739,80.0,22.49286228462133,23,81.73913043478261,80.0,16.963108075265055,-3.4782608695652186,-0.17460454936095957,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
c2_rosa_parks_2.pdf,C2,23,54.78260869565217,60.0,26.435094651788404,23,54.78260869565217,60.0,25.738115565934027,0.0,0.0,ουσιαστικά μικρή/ουδέτερη διαφορά; usable n
